DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T13:00:00Z,Temperature,2,2.584
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T14:00:00Z,Temperature,2,2.584
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T15:00:00Z,Temperature,2,2.584
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T16:00:00Z,Temperature,2,2.61
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T17:00:00Z,Temperature,2,2.637
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T18:00:00Z,Temperature,2,2.69
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T19:00:00Z,Temperature,2,2.69
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T20:00:00Z,Temperature,2,2.664
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T21:00:00Z,Temperature,2,2.664
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T22:00:00Z,Temperature,2,2.664
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-23T23:00:00Z,Temperature,2,2.664
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T00:00:00Z,Temperature,2,2.717
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T01:00:00Z,Temperature,2,2.717
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T02:00:00Z,Temperature,2,2.69
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T03:00:00Z,Temperature,2,2.664
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T04:00:00Z,Temperature,2,2.61
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T05:00:00Z,Temperature,2,2.584
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T06:00:00Z,Temperature,2,2.61
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T07:00:00Z,Temperature,2,2.477
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T08:00:00Z,Temperature,2,2.396
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T09:00:00Z,Temperature,2,2.423
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T10:00:00Z,Temperature,2,2.45
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T11:00:00Z,Temperature,2,2.423
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T12:00:00Z,Temperature,2,2.396
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T13:00:00Z,Temperature,2,2.396
2018-Dec-21 to 2019-Apr-10,HOBO-20495241,2018-12-24T14:00:00Z,Temperature,2,2.477
