DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T11:55:00Z,Dissolved Oxygen,5,110.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T13:37:00Z,Dissolved Oxygen,5,110.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T15:19:00Z,Dissolved Oxygen,5,111.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T17:01:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T18:43:00Z,Dissolved Oxygen,5,110.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T20:25:00Z,Dissolved Oxygen,5,111.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T22:08:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-03T23:50:00Z,Dissolved Oxygen,5,110.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T01:32:00Z,Dissolved Oxygen,5,110.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T03:14:00Z,Dissolved Oxygen,5,109.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T04:56:00Z,Dissolved Oxygen,5,109.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T06:38:00Z,Dissolved Oxygen,5,108.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T08:20:00Z,Dissolved Oxygen,5,108.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T10:02:00Z,Dissolved Oxygen,5,109.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T11:44:00Z,Dissolved Oxygen,5,109.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T13:26:00Z,Dissolved Oxygen,5,109.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T15:09:00Z,Dissolved Oxygen,5,111
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T16:51:00Z,Dissolved Oxygen,5,111.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T18:33:00Z,Dissolved Oxygen,5,111.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T20:15:00Z,Dissolved Oxygen,5,111.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T21:57:00Z,Dissolved Oxygen,5,110.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-04T23:40:00Z,Dissolved Oxygen,5,110.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T01:22:00Z,Dissolved Oxygen,5,111
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T03:04:00Z,Dissolved Oxygen,5,110.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T04:46:00Z,Dissolved Oxygen,5,109.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T06:28:00Z,Dissolved Oxygen,5,107.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T08:10:00Z,Dissolved Oxygen,5,107.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T09:52:00Z,Dissolved Oxygen,5,108.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-05T11:34:00Z,Dissolved Oxygen,5,108.8
